date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-06-19 00:00:00,20,15,0.0,10.6,4,39,10:42 AM,12:02 AM,03:44 AM,08:33 PM,14,17,17,17,31,100,84,0.0,1019,17,10,245,15,Birmingham
2018-06-19 12:00:00,20,15,0.0,10.6,4,39,10:42 AM,12:02 AM,03:44 AM,08:33 PM,15,19,19,19,29,97,77,0.0,1022,19,10,224,16,Birmingham
