date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-06-19 00:00:00,31,26,0.0,10.4,7,39,12:39 PM,12:48 AM,06:29 AM,08:15 PM,24,30,30,27,7,56,74,0.0,1016,27,10,75,5,Miami
2018-06-19 12:00:00,31,26,0.0,10.4,7,39,12:39 PM,12:48 AM,06:29 AM,08:15 PM,23,35,35,31,16,28,62,0.0,1016,31,9,74,14,Miami
