,mkt_carrier_fl_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,arr_delay
count,58088.0,58088.0,58088.0,58088.0,58088.0,58088.0,58088.0,58088.0,58088.0,56919.0
mean,2754.156073543589,2754.0742321994217,12688.304279713539,12685.907519625396,1328.568533948492,1481.8688197218014,140.50693774962127,1.0,789.6977861176147,5.861434670320983
std,1854.8089745407933,1854.911215094938,1518.8897477135395,1521.9504867081503,492.10518698533093,519.894937852485,73.49421996649298,0.0,600.8465385956732,50.480168491485735
min,1.0,1.0,10135.0,10135.0,1.0,1.0,20.0,1.0,31.0,-70.0
25%,1129.0,1129.0,11292.0,11292.0,915.0,1100.0,88.0,1.0,351.0,-15.0
50%,2366.0,2366.0,12889.0,12889.0,1318.0,1507.0,120.0,1.0,617.0,-6.0
75%,4329.0,4327.0,14057.0,14057.0,1735.0,1917.0,170.0,1.0,1021.0,8.0
max,7439.0,9178.0,16869.0,16869.0,2359.0,2400.0,679.0,1.0,4983.0,1301.0
